epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,636.462,2.44793,3.92577,2.6612,3.27767,0.97166,0.94679,0.97227,0.69695,0.97282,0.94059,0.96685,0.7087,1.01133,1.24067,0.81507,1.60379,0.00332985,0.00332985,0.00332985
2,1251.41,1.02182,1.39656,0.84646,1.61963,0.98351,0.9785,0.99206,0.75571,0.98428,0.9784,0.99201,0.75433,0.87176,1.18184,0.45475,1.38341,0.00659722,0.00659722,0.00659722
3,1865.54,0.86646,1.17863,0.61616,1.42708,0.98374,0.9822,0.99395,0.80602,0.98466,0.9826,0.99394,0.82968,0.73777,0.85943,0.37374,1.20054,0.00979859,0.00979859,0.00979859
4,2481.13,0.79762,1.08025,0.53781,1.35105,0.98904,0.9906,0.99448,0.8569,0.98683,0.9893,0.99432,0.85906,0.59892,0.73449,0.32803,1.06025,0.009703,0.009703,0.009703
5,3095.41,0.748,1.01268,0.48735,1.30425,0.9885,0.994,0.99472,0.86975,0.9883,0.9938,0.9947,0.87118,0.56975,0.69629,0.28871,1.03036,0.009604,0.009604,0.009604
6,3707.66,0.72025,0.97434,0.46063,1.2786,0.99217,0.9946,0.99482,0.86926,0.99197,0.9944,0.99483,0.8758,0.56657,0.66953,0.27851,1.01737,0.009505,0.009505,0.009505
7,4320.31,0.70001,0.94818,0.44169,1.25914,0.98964,0.99394,0.99475,0.88754,0.98948,0.9936,0.99475,0.88728,0.52956,0.64415,0.25644,0.97878,0.009406,0.009406,0.009406
8,4935.87,0.687,0.9279,0.42805,1.24218,0.9934,0.99411,0.99468,0.89241,0.9934,0.99415,0.99468,0.89275,0.51534,0.62953,0.24403,0.9611,0.009307,0.009307,0.009307
9,5552.08,0.67696,0.913,0.41728,1.22755,0.99301,0.9946,0.99483,0.89933,0.99196,0.9936,0.9948,0.89885,0.50676,0.61757,0.23152,0.94871,0.009208,0.009208,0.009208
10,6165.48,0.66812,0.89983,0.40997,1.21487,0.99094,0.9946,0.99475,0.90327,0.99058,0.994,0.9947,0.90263,0.49959,0.60707,0.231,0.93777,0.009109,0.009109,0.009109
11,6779.59,0.65857,0.88881,0.40324,1.20776,0.99159,0.9942,0.99479,0.90315,0.99077,0.9938,0.99478,0.90334,0.49542,0.60016,0.22325,0.93338,0.00901,0.00901,0.00901
12,7392.59,0.65505,0.88325,0.39751,1.19453,0.99166,0.9944,0.99472,0.90598,0.99063,0.9934,0.99469,0.90538,0.48954,0.59202,0.21706,0.92493,0.008911,0.008911,0.008911
13,8009.9,0.64706,0.87267,0.39114,1.18391,0.9948,0.99436,0.99478,0.90675,0.994,0.99356,0.99476,0.90694,0.48647,0.58923,0.21555,0.92099,0.008812,0.008812,0.008812
14,8626.05,0.64299,0.86634,0.38858,1.1802,0.99486,0.9942,0.99479,0.90917,0.99436,0.9936,0.99478,0.90944,0.48238,0.58496,0.21083,0.91518,0.008713,0.008713,0.008713
15,9240.63,0.63959,0.86188,0.38512,1.16869,0.99519,0.99385,0.9948,0.91065,0.99514,0.9934,0.99479,0.90927,0.48261,0.58128,0.21301,0.91466,0.008614,0.008614,0.008614
16,9857.32,0.63414,0.85525,0.38198,1.15315,0.99513,0.994,0.99481,0.90913,0.99488,0.9936,0.9948,0.90933,0.48165,0.57775,0.20717,0.91167,0.008515,0.008515,0.008515
17,10471.9,0.63089,0.85267,0.37728,1.14777,0.99521,0.994,0.99478,0.90856,0.99481,0.9936,0.99476,0.90836,0.48151,0.57525,0.20943,0.91337,0.008416,0.008416,0.008416
18,11086.2,0.62843,0.8472,0.37583,1.14368,0.99506,0.9938,0.99478,0.91047,0.99466,0.9934,0.99476,0.90996,0.4808,0.57289,0.20769,0.9139,0.008317,0.008317,0.008317
19,11701.5,0.62589,0.84263,0.37474,1.14579,0.99529,0.994,0.9948,0.91073,0.99468,0.9934,0.99477,0.91063,0.47974,0.572,0.20693,0.91259,0.008218,0.008218,0.008218
20,12314.8,0.62349,0.83724,0.37054,1.1328,0.99544,0.9936,0.9948,0.91142,0.99484,0.993,0.99477,0.91125,0.47796,0.57042,0.20626,0.91135,0.008119,0.008119,0.008119
21,12928.5,0.61979,0.83539,0.36856,1.12368,0.99569,0.9936,0.99479,0.91269,0.99529,0.9932,0.99477,0.91249,0.47696,0.56891,0.20591,0.9106,0.00802,0.00802,0.00802
22,13541.8,0.61491,0.83187,0.36716,1.1249,0.99619,0.99347,0.99479,0.91348,0.99579,0.99307,0.99477,0.91327,0.4762,0.56784,0.20628,0.91098,0.007921,0.007921,0.007921
