epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,974.65,1.95782,3.09418,2.0228,2.70011,0.98319,0.97098,0.99305,0.79421,0.9838,0.97158,0.99295,0.79522,0.76564,0.9552,0.51382,1.2735,0.00333246,0.00333246,0.00333246
2,1926.82,0.86852,1.16995,0.62231,1.43584,0.98903,0.99233,0.99464,0.84743,0.98843,0.99153,0.99459,0.85249,0.62352,0.73031,0.32196,1.08926,0.0065998,0.0065998,0.0065998
3,2860.28,0.79919,1.07269,0.54274,1.36363,0.98825,0.99281,0.99468,0.86534,0.98785,0.99249,0.99465,0.86942,0.57989,0.69404,0.29151,1.04974,0.00980115,0.00980115,0.00980115
4,3793.83,0.76063,1.02165,0.49986,1.32817,0.98462,0.995,0.99464,0.88394,0.98442,0.9948,0.99463,0.88412,0.54061,0.65433,0.2592,1.00271,0.009703,0.009703,0.009703
5,4737.56,0.71327,0.95758,0.45232,1.2847,0.98728,0.9952,0.99466,0.89077,0.98668,0.9946,0.99461,0.88951,0.51917,0.62774,0.23996,0.98209,0.009604,0.009604,0.009604
6,5684.05,0.6886,0.92704,0.4276,1.26484,0.98963,0.9948,0.99466,0.8988,0.98925,0.9943,0.99464,0.8976,0.50795,0.61645,0.22683,0.96933,0.009505,0.009505,0.009505
7,6628.15,0.67103,0.90087,0.41286,1.24153,0.98964,0.99404,0.99472,0.90381,0.98925,0.99364,0.99469,0.9022,0.50153,0.6086,0.22133,0.96155,0.009406,0.009406,0.009406
8,7571.5,0.65793,0.88349,0.40004,1.22678,0.99064,0.9942,0.99473,0.90597,0.99024,0.9938,0.9947,0.90536,0.4969,0.60182,0.21821,0.95782,0.009307,0.009307,0.009307
9,8516.76,0.64943,0.87175,0.39216,1.2154,0.993,0.994,0.99475,0.90855,0.9924,0.9934,0.99471,0.90768,0.49491,0.59766,0.21666,0.95625,0.009208,0.009208,0.009208
10,9448.88,0.64221,0.86105,0.38514,1.21448,0.99401,0.9934,0.99477,0.91038,0.99319,0.9928,0.99474,0.90992,0.49277,0.59353,0.21347,0.95374,0.009109,0.009109,0.009109
11,10382.7,0.63561,0.85188,0.3795,1.2048,0.99479,0.99356,0.99478,0.91123,0.99382,0.9928,0.99474,0.9108,0.49171,0.58834,0.21097,0.95232,0.00901,0.00901,0.00901
12,11315.7,0.62977,0.84534,0.37548,1.19323,0.99501,0.9936,0.9948,0.91302,0.99419,0.99286,0.99477,0.91217,0.4896,0.58407,0.20922,0.95125,0.008911,0.008911,0.008911
13,12249.9,0.62135,0.83241,0.36673,1.17261,0.9949,0.9938,0.9948,0.91393,0.99409,0.993,0.99477,0.9129,0.48727,0.58036,0.2085,0.94894,0.008812,0.008812,0.008812
14,13185.9,0.61836,0.82974,0.36477,1.1701,0.99545,0.9938,0.9948,0.91525,0.99465,0.993,0.99477,0.91363,0.48552,0.57668,0.20778,0.94779,0.008713,0.008713,0.008713
15,14151.7,0.61423,0.82295,0.36497,1.16858,0.99552,0.994,0.9948,0.91558,0.99453,0.993,0.99477,0.91428,0.48379,0.57374,0.20658,0.94622,0.008614,0.008614,0.008614
16,15117.3,0.61069,0.81696,0.3609,1.1614,0.99553,0.9938,0.9948,0.9171,0.99459,0.99313,0.99477,0.9159,0.4814,0.56991,0.20614,0.94354,0.008515,0.008515,0.008515
17,16084.5,0.60673,0.8135,0.35767,1.15479,0.99559,0.9943,0.99477,0.91885,0.9944,0.99384,0.99475,0.91715,0.47917,0.5662,0.2066,0.94113,0.008416,0.008416,0.008416
18,17050.9,0.60594,0.81086,0.35781,1.15061,0.99579,0.99393,0.99479,0.91967,0.9944,0.99398,0.99477,0.91863,0.47788,0.5631,0.20583,0.94004,0.008317,0.008317,0.008317
19,18018.6,0.60096,0.80418,0.35507,1.14684,0.99626,0.9946,0.99479,0.9206,0.99526,0.9936,0.99477,0.91949,0.47676,0.56055,0.20555,0.93835,0.008218,0.008218,0.008218
20,18985.6,0.59805,0.79768,0.35208,1.13044,0.99614,0.9948,0.99479,0.92107,0.99522,0.994,0.99477,0.92017,0.47537,0.55725,0.20415,0.93574,0.008119,0.008119,0.008119
21,19954.1,0.59595,0.79741,0.35032,1.12666,0.99599,0.9948,0.9948,0.9214,0.99539,0.9942,0.99478,0.92139,0.47298,0.55418,0.20285,0.93192,0.00802,0.00802,0.00802
22,20921.2,0.59312,0.79299,0.34592,1.12352,0.99634,0.9948,0.9948,0.92236,0.99574,0.9942,0.99478,0.9224,0.47012,0.5513,0.20096,0.92806,0.007921,0.007921,0.007921
23,21889.4,0.59024,0.78851,0.34247,1.11537,0.99599,0.995,0.9948,0.92297,0.9953,0.9944,0.99478,0.92313,0.46717,0.54856,0.2001,0.92424,0.007822,0.007822,0.007822
24,22848.6,0.58741,0.78658,0.34132,1.10896,0.99619,0.9944,0.99479,0.92397,0.99539,0.99437,0.99477,0.92347,0.46535,0.54641,0.199,0.92131,0.007723,0.007723,0.007723
25,23793.9,0.58529,0.7823,0.33979,1.10952,0.99619,0.9947,0.99479,0.9245,0.9954,0.9942,0.99477,0.92438,0.46344,0.54414,0.19768,0.91802,0.007624,0.007624,0.007624
26,24740.8,0.58328,0.78125,0.33823,1.10556,0.99612,0.995,0.99479,0.9245,0.99525,0.9942,0.99475,0.9244,0.46235,0.5422,0.1962,0.91605,0.007525,0.007525,0.007525
27,25681.3,0.5806,0.77799,0.33683,1.10104,0.99606,0.9948,0.9948,0.92541,0.9955,0.9942,0.99475,0.92518,0.46021,0.54011,0.19481,0.91269,0.007426,0.007426,0.007426
28,26616.1,0.57589,0.77026,0.3336,1.09561,0.9958,0.99485,0.99479,0.92579,0.99522,0.9942,0.99475,0.92535,0.45925,0.53812,0.19279,0.91091,0.007327,0.007327,0.007327
29,27551.4,0.57654,0.77132,0.33395,1.09325,0.9958,0.99523,0.99478,0.92637,0.99559,0.99443,0.99477,0.92628,0.4577,0.53758,0.19195,0.90873,0.007228,0.007228,0.007228
30,28484.2,0.57268,0.76895,0.33199,1.09035,0.99639,0.99517,0.99478,0.92736,0.99563,0.9944,0.99475,0.92712,0.45612,0.53544,0.19093,0.9065,0.007129,0.007129,0.007129
31,29419.6,0.57244,0.76452,0.3316,1.09007,0.99596,0.9954,0.99478,0.92768,0.99524,0.9948,0.99475,0.92761,0.45511,0.53354,0.1901,0.90455,0.00703,0.00703,0.00703
32,30354.9,0.57003,0.76477,0.33026,1.08284,0.9962,0.99541,0.99479,0.92832,0.9958,0.99501,0.99478,0.92774,0.45433,0.53297,0.18951,0.90149,0.006931,0.006931,0.006931
33,31290.6,0.56611,0.75914,0.32807,1.0749,0.99613,0.9954,0.99479,0.92824,0.99559,0.99457,0.99476,0.92804,0.45374,0.53211,0.18988,0.8963,0.006832,0.006832,0.006832
34,32225.5,0.56516,0.75772,0.32735,1.07395,0.9958,0.99539,0.9948,0.92782,0.99559,0.99439,0.99477,0.92842,0.45382,0.53144,0.19078,0.88877,0.006733,0.006733,0.006733
35,33161.2,0.56248,0.75324,0.32544,1.07179,0.9956,0.9951,0.99479,0.92835,0.99543,0.9942,0.99476,0.92853,0.45264,0.53015,0.19289,0.88483,0.006634,0.006634,0.006634
