epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,668.84,2.26313,3.65376,2.41489,3.0667,0.97278,0.94519,0.97647,0.74379,0.97237,0.94619,0.97185,0.73553,0.90248,1.21794,0.82036,1.50109,0.00332985,0.00332985,0.00332985
2,1291.89,0.9896,1.37381,0.79938,1.59386,0.98991,0.98082,0.99178,0.72634,0.9907,0.98,0.9874,0.73279,0.96091,1.15019,0.49702,1.42434,0.00659722,0.00659722,0.00659722
3,1915.21,0.856,1.17609,0.61174,1.43531,0.98409,0.98959,0.99354,0.78591,0.98506,0.98895,0.99358,0.81109,0.77181,0.86451,0.40446,1.2576,0.00979859,0.00979859,0.00979859
4,2538.87,0.78613,1.0725,0.5402,1.3635,0.99222,0.9892,0.99467,0.8545,0.99194,0.9888,0.99464,0.85835,0.60197,0.72724,0.3447,1.07192,0.009703,0.009703,0.009703
5,3157.89,0.73667,1.00245,0.49108,1.31779,0.99213,0.9936,0.99471,0.86554,0.99173,0.9932,0.99469,0.86693,0.56222,0.69352,0.30138,1.02926,0.009604,0.009604,0.009604
6,3784.45,0.70863,0.96461,0.45982,1.29097,0.99317,0.9936,0.99476,0.86785,0.99328,0.9934,0.99476,0.87395,0.55233,0.65663,0.30245,1.01586,0.009505,0.009505,0.009505
7,4404.83,0.69155,0.94161,0.44365,1.2722,0.99189,0.9938,0.99485,0.88465,0.99113,0.993,0.99482,0.88322,0.526,0.6505,0.28604,0.99022,0.009406,0.009406,0.009406
8,5023.3,0.67785,0.91943,0.42982,1.25575,0.99369,0.9934,0.99479,0.8861,0.99309,0.9928,0.99477,0.88643,0.51376,0.63138,0.27129,0.97891,0.009307,0.009307,0.009307
9,5645.15,0.66755,0.9053,0.41884,1.24662,0.994,0.99352,0.99486,0.8951,0.994,0.99352,0.99487,0.89528,0.50848,0.61379,0.25621,0.97056,0.009208,0.009208,0.009208
10,6270.85,0.66026,0.89511,0.4114,1.23772,0.99222,0.99471,0.99484,0.89933,0.99162,0.9942,0.99481,0.89809,0.50252,0.60552,0.24852,0.96356,0.009109,0.009109,0.009109
11,6889.51,0.64978,0.88363,0.40397,1.22724,0.9942,0.99425,0.99491,0.90367,0.99303,0.9928,0.99489,0.90126,0.49268,0.59853,0.24642,0.95278,0.00901,0.00901,0.00901
12,7508.45,0.64712,0.87742,0.40022,1.22177,0.994,0.99464,0.99487,0.90169,0.99319,0.994,0.99485,0.90301,0.49455,0.59354,0.22777,0.95751,0.008911,0.008911,0.008911
13,8130.41,0.64097,0.86845,0.3946,1.21657,0.99397,0.9948,0.99488,0.90542,0.99239,0.9934,0.99485,0.90556,0.48794,0.58922,0.24198,0.94717,0.008812,0.008812,0.008812
14,8750.04,0.6375,0.86269,0.39216,1.20971,0.99507,0.9952,0.99486,0.90611,0.9944,0.9945,0.99485,0.90675,0.48737,0.58618,0.22865,0.9491,0.008713,0.008713,0.008713
15,9375.02,0.63471,0.85964,0.38789,1.20168,0.99497,0.9946,0.99488,0.90762,0.99437,0.994,0.99487,0.90866,0.48551,0.58132,0.2237,0.94744,0.008614,0.008614,0.008614
16,9999.69,0.62815,0.85314,0.38435,1.19923,0.9948,0.99435,0.99488,0.90821,0.9936,0.99312,0.99486,0.90932,0.48507,0.57983,0.22728,0.94717,0.008515,0.008515,0.008515
17,10625.1,0.62547,0.84965,0.38171,1.19787,0.99439,0.9948,0.99488,0.90868,0.99359,0.994,0.99486,0.91004,0.4839,0.57915,0.22066,0.94634,0.008416,0.008416,0.008416
18,11248,0.62318,0.84557,0.37906,1.19719,0.995,0.99445,0.99485,0.90806,0.994,0.99345,0.99483,0.90986,0.48406,0.57887,0.21617,0.94663,0.008317,0.008317,0.008317
19,11870.6,0.62266,0.84167,0.37821,1.19409,0.99479,0.99383,0.99484,0.90943,0.9946,0.9932,0.99484,0.91067,0.48344,0.57748,0.21525,0.94539,0.008218,0.008218,0.008218
20,12494.9,0.61862,0.83613,0.37482,1.18701,0.99556,0.9944,0.99485,0.90911,0.99479,0.99348,0.99484,0.91127,0.48349,0.5769,0.21306,0.94523,0.008119,0.008119,0.008119
21,13113.2,0.61622,0.83486,0.37541,1.19059,0.99539,0.99418,0.99486,0.90983,0.99465,0.9934,0.99485,0.91102,0.48327,0.57555,0.21228,0.9447,0.00802,0.00802,0.00802
22,13740.4,0.61488,0.83329,0.37247,1.18262,0.99495,0.9946,0.99487,0.90922,0.99435,0.994,0.99486,0.91096,0.48292,0.57489,0.21127,0.94416,0.007921,0.007921,0.007921
23,14365.2,0.61096,0.82668,0.37106,1.17336,0.99539,0.99413,0.99486,0.9104,0.99499,0.99373,0.99486,0.91192,0.48241,0.57403,0.21058,0.94379,0.007822,0.007822,0.007822
