epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,954.693,2.21577,3.43738,2.28047,3.04824,0.97282,0.94319,0.98267,0.7552,0.97355,0.94379,0.97864,0.75146,0.86047,1.09214,0.68396,1.45475,0.00332985,0.00332985,0.00332985
2,1899.22,0.94362,1.27356,0.72343,1.55652,0.98014,0.9756,0.99192,0.77852,0.9819,0.97654,0.9919,0.79018,0.80676,0.95144,0.51659,1.27767,0.00659722,0.00659722,0.00659722
3,2843.76,0.82201,1.10472,0.57278,1.41141,0.98494,0.9886,0.9942,0.82898,0.98454,0.9882,0.99397,0.83941,0.66319,0.82507,0.37341,1.13998,0.00979859,0.00979859,0.00979859
4,3783.14,0.75965,1.01999,0.50906,1.34598,0.98646,0.99126,0.99401,0.84898,0.98706,0.99165,0.99407,0.85722,0.59435,0.70992,0.33783,1.07389,0.009703,0.009703,0.009703
5,4723.66,0.70943,0.95492,0.46348,1.29861,0.99247,0.9924,0.99476,0.8745,0.99202,0.992,0.99475,0.87681,0.55405,0.66065,0.30097,1.02076,0.009604,0.009604,0.009604
6,5668.5,0.68248,0.91902,0.43579,1.27348,0.99017,0.9944,0.99475,0.88651,0.99004,0.9944,0.99473,0.88908,0.52776,0.62568,0.26979,1.00238,0.009505,0.009505,0.009505
7,6610.75,0.6659,0.89499,0.42146,1.25665,0.99378,0.99118,0.99484,0.89185,0.99386,0.9908,0.99486,0.89296,0.51272,0.62125,0.27778,0.98649,0.009406,0.009406,0.009406
8,7554.1,0.65231,0.87516,0.40759,1.24538,0.99261,0.99431,0.99481,0.89641,0.99271,0.9938,0.9948,0.90214,0.50529,0.61105,0.2531,0.97078,0.009307,0.009307,0.009307
9,8488.26,0.64381,0.86127,0.39809,1.23665,0.99479,0.99317,0.99486,0.9019,0.99396,0.9936,0.99488,0.90528,0.49566,0.59799,0.23949,0.95892,0.009208,0.009208,0.009208
10,9424.52,0.63475,0.85033,0.39059,1.22932,0.9901,0.9952,0.99479,0.90928,0.98971,0.9948,0.99478,0.90974,0.48642,0.59127,0.23304,0.95384,0.009109,0.009109,0.009109
11,10357.6,0.62648,0.84037,0.38626,1.22054,0.99312,0.9948,0.99482,0.90679,0.99312,0.9948,0.99482,0.91046,0.48508,0.57734,0.23683,0.95182,0.00901,0.00901,0.00901
12,11298.3,0.62179,0.83186,0.38014,1.21572,0.99375,0.9946,0.99485,0.9089,0.99352,0.994,0.99479,0.91462,0.48312,0.57309,0.23119,0.94953,0.008911,0.008911,0.008911
13,12236.7,0.61505,0.82316,0.3742,1.2107,0.99342,0.9938,0.99485,0.90869,0.9931,0.9934,0.99484,0.91406,0.4774,0.57553,0.22821,0.9431,0.008812,0.008812,0.008812
14,13262.4,0.61128,0.81801,0.37126,1.20862,0.99401,0.9944,0.99484,0.90961,0.99381,0.9942,0.99484,0.91466,0.47457,0.56988,0.22394,0.94006,0.008713,0.008713,0.008713
15,14337.7,0.60837,0.81464,0.36729,1.20436,0.9944,0.99463,0.99485,0.91127,0.9942,0.99443,0.99484,0.91626,0.47213,0.56162,0.2277,0.93725,0.008614,0.008614,0.008614
16,15268.7,0.60289,0.80922,0.36442,1.19962,0.99503,0.9948,0.99484,0.91324,0.99483,0.9946,0.99483,0.91667,0.47006,0.56576,0.21962,0.93577,0.008515,0.008515,0.008515
17,16199,0.5997,0.80467,0.36125,1.19533,0.99481,0.9948,0.99485,0.91215,0.99461,0.9946,0.99484,0.91749,0.47039,0.56596,0.2125,0.93547,0.008416,0.008416,0.008416
18,17127.1,0.5973,0.79972,0.36033,1.19276,0.99528,0.9946,0.99486,0.91276,0.99508,0.9944,0.99484,0.91771,0.46881,0.56408,0.20952,0.9338,0.008317,0.008317,0.008317
19,18058.4,0.5943,0.79502,0.35767,1.18519,0.99452,0.9944,0.99486,0.91272,0.99432,0.9942,0.99484,0.91768,0.46787,0.55834,0.20744,0.93274,0.008218,0.008218,0.008218
20,18991.3,0.59098,0.78927,0.35523,1.1828,0.995,0.99445,0.99486,0.91354,0.9948,0.99425,0.99484,0.9186,0.46714,0.55744,0.20603,0.93157,0.008119,0.008119,0.008119
21,19924.5,0.58849,0.78776,0.35436,1.18024,0.99467,0.9946,0.99485,0.91453,0.99447,0.9944,0.99484,0.9191,0.4666,0.55793,0.2052,0.9307,0.00802,0.00802,0.00802
22,20852.2,0.58614,0.78504,0.35241,1.17749,0.99459,0.9948,0.99485,0.91541,0.99439,0.9946,0.99484,0.91914,0.46596,0.55616,0.20434,0.92987,0.007921,0.007921,0.007921
23,21781.4,0.58202,0.78015,0.34844,1.17577,0.99494,0.9948,0.99484,0.91649,0.99471,0.9946,0.99483,0.92019,0.46533,0.55534,0.20353,0.92914,0.007822,0.007822,0.007822
24,22716.6,0.58043,0.77544,0.347,1.16909,0.9951,0.995,0.99484,0.9177,0.9951,0.995,0.99484,0.92066,0.46496,0.55288,0.20268,0.9287,0.007723,0.007723,0.007723
25,23646.8,0.57744,0.77334,0.34585,1.16518,0.995,0.9951,0.99486,0.91751,0.995,0.9951,0.99486,0.9212,0.46466,0.55064,0.20245,0.92855,0.007624,0.007624,0.007624
26,24575.1,0.5763,0.77104,0.34348,1.16627,0.99495,0.9954,0.99486,0.91811,0.99495,0.9954,0.99486,0.92102,0.46444,0.54985,0.20161,0.92875,0.007525,0.007525,0.007525
27,25505.9,0.57303,0.76848,0.34175,1.166,0.995,0.99529,0.99486,0.91869,0.995,0.99529,0.99486,0.92174,0.46408,0.54898,0.20171,0.92839,0.007426,0.007426,0.007426
28,26435.4,0.56925,0.76602,0.33938,1.16506,0.99516,0.9952,0.99486,0.91878,0.99496,0.995,0.99485,0.92182,0.46399,0.5484,0.20119,0.92805,0.007327,0.007327,0.007327
29,27368,0.56636,0.76305,0.33871,1.15977,0.99554,0.9954,0.99488,0.9199,0.99514,0.995,0.99485,0.92232,0.46414,0.54812,0.20078,0.92813,0.007228,0.007228,0.007228
30,28299.9,0.56555,0.76156,0.33838,1.15987,0.9954,0.99533,0.99487,0.91979,0.9952,0.99513,0.99485,0.92246,0.46435,0.54761,0.20094,0.92837,0.007129,0.007129,0.007129
31,29233.6,0.56358,0.75759,0.33599,1.15723,0.99559,0.9954,0.99487,0.91889,0.99539,0.9952,0.99486,0.92168,0.46426,0.54708,0.20142,0.92839,0.00703,0.00703,0.00703
32,30213.1,0.56154,0.75605,0.33423,1.15598,0.9958,0.99512,0.99487,0.92005,0.9956,0.99492,0.99486,0.92314,0.46395,0.5464,0.20682,0.92843,0.006931,0.006931,0.006931
33,31155.8,0.5584,0.75172,0.33139,1.15392,0.99619,0.99506,0.99488,0.91938,0.99579,0.99466,0.99485,0.92316,0.46336,0.54532,0.20307,0.92808,0.006832,0.006832,0.006832
34,32089,0.55649,0.74821,0.33073,1.15145,0.9958,0.99496,0.99487,0.91903,0.99544,0.9948,0.99486,0.92358,0.46288,0.54446,0.20063,0.92771,0.006733,0.006733,0.006733
35,33023.8,0.55519,0.74694,0.33027,1.15261,0.996,0.99505,0.99488,0.91962,0.9954,0.99488,0.99486,0.92399,0.46254,0.54381,0.19981,0.92728,0.006634,0.006634,0.006634
36,33957.5,0.55371,0.74675,0.3281,1.14569,0.9952,0.99538,0.99487,0.92034,0.995,0.99518,0.99486,0.92402,0.46218,0.54298,0.19917,0.92669,0.006535,0.006535,0.006535
37,34890.4,0.5508,0.7433,0.32742,1.14408,0.99535,0.995,0.99486,0.92081,0.99515,0.9948,0.99486,0.92435,0.46173,0.54192,0.19897,0.92596,0.006436,0.006436,0.006436
38,35822.6,0.54942,0.73931,0.32643,1.14183,0.99579,0.99477,0.99487,0.92113,0.99559,0.99457,0.99486,0.92491,0.46109,0.54128,0.19837,0.92522,0.006337,0.006337,0.006337
39,36759.4,0.54826,0.73932,0.32565,1.14052,0.9956,0.99472,0.99487,0.92075,0.9954,0.99452,0.99486,0.92458,0.46045,0.54078,0.19763,0.92441,0.006238,0.006238,0.006238
40,37690.8,0.54736,0.73693,0.32404,1.13365,0.99579,0.995,0.99488,0.92031,0.99559,0.9948,0.99487,0.9245,0.46059,0.54016,0.19783,0.92423,0.006139,0.006139,0.006139
41,38625,0.54325,0.73252,0.32109,1.12826,0.99579,0.99463,0.99489,0.92078,0.99559,0.99443,0.99488,0.92485,0.46036,0.5395,0.1976,0.92393,0.00604,0.00604,0.00604
42,39559.4,0.54185,0.73331,0.32008,1.12407,0.99584,0.9944,0.99488,0.92101,0.99564,0.9942,0.99488,0.9253,0.46017,0.53904,0.19749,0.92345,0.005941,0.005941,0.005941
43,40491.4,0.54072,0.73055,0.31989,1.12051,0.99593,0.9944,0.99489,0.9215,0.99573,0.9942,0.99488,0.92546,0.45992,0.53851,0.1968,0.92319,0.005842,0.005842,0.005842
44,41420.7,0.53895,0.7293,0.31855,1.12317,0.99599,0.99402,0.99489,0.92234,0.99579,0.99382,0.99488,0.92579,0.45896,0.53764,0.19621,0.92252,0.005743,0.005743,0.005743
45,42335.8,0.53676,0.72585,0.31739,1.12316,0.99619,0.99417,0.99489,0.92261,0.99599,0.99397,0.99488,0.92605,0.45789,0.537,0.19513,0.92156,0.005644,0.005644,0.005644
46,43252.3,0.53423,0.72356,0.31502,1.12218,0.99612,0.9944,0.99489,0.92299,0.99592,0.9942,0.99488,0.92646,0.45669,0.53616,0.19464,0.92061,0.005545,0.005545,0.005545
47,44170.1,0.53229,0.71899,0.31477,1.12118,0.99615,0.9944,0.99489,0.92308,0.99574,0.994,0.99484,0.92682,0.45599,0.5355,0.19451,0.92002,0.005446,0.005446,0.005446
48,45078.7,0.53068,0.71714,0.31339,1.11977,0.99623,0.9944,0.99488,0.9238,0.99583,0.994,0.99483,0.92667,0.45548,0.53502,0.19438,0.9192,0.005347,0.005347,0.005347
49,45990.6,0.52905,0.71647,0.3119,1.11723,0.99616,0.9944,0.99489,0.92382,0.99596,0.9942,0.99488,0.92713,0.45508,0.53452,0.19339,0.91838,0.005248,0.005248,0.005248
50,46902.8,0.52652,0.71165,0.31007,1.10795,0.9961,0.9944,0.99489,0.92375,0.9959,0.9942,0.99488,0.9271,0.45448,0.53382,0.19323,0.91717,0.005149,0.005149,0.005149
51,47825.1,0.52563,0.71076,0.3096,1.10047,0.99619,0.99445,0.99488,0.92376,0.99599,0.99425,0.99487,0.92697,0.45394,0.53307,0.1927,0.91629,0.00505,0.00505,0.00505
52,48743.2,0.52261,0.70714,0.30783,1.09785,0.99611,0.9944,0.99488,0.9237,0.99591,0.9942,0.99486,0.92744,0.45358,0.5327,0.19181,0.91605,0.004951,0.004951,0.004951
53,49659.5,0.52048,0.70433,0.30706,1.09767,0.99615,0.9946,0.99487,0.92404,0.99595,0.9944,0.99486,0.92778,0.45352,0.5324,0.1916,0.91596,0.004852,0.004852,0.004852
54,50587.4,0.51877,0.7021,0.30546,1.09176,0.99599,0.99474,0.99487,0.92442,0.99559,0.99434,0.99483,0.92805,0.45312,0.53125,0.19093,0.91554,0.004753,0.004753,0.004753
55,51507.3,0.51572,0.69618,0.30343,1.07513,0.99619,0.99473,0.99487,0.92409,0.99579,0.99433,0.99483,0.92793,0.453,0.53079,0.191,0.91533,0.004654,0.004654,0.004654
56,52422.3,0.51315,0.69381,0.30101,1.06786,0.99595,0.9946,0.99487,0.92386,0.99555,0.9942,0.99484,0.92778,0.45303,0.53064,0.19145,0.91444,0.004555,0.004555,0.004555
57,53346.1,0.51159,0.69311,0.29868,1.06984,0.99607,0.9946,0.99487,0.92369,0.99567,0.9942,0.99484,0.92768,0.45375,0.5291,0.19196,0.91381,0.004456,0.004456,0.004456
58,54268.9,0.50824,0.69103,0.2977,1.06926,0.99629,0.9944,0.99487,0.92358,0.99589,0.994,0.99484,0.92826,0.45456,0.52972,0.19186,0.91282,0.004357,0.004357,0.004357
59,55243.1,0.50862,0.68925,0.2978,1.06626,0.9956,0.99471,0.99487,0.92371,0.99519,0.99431,0.99484,0.92864,0.45528,0.52981,0.19255,0.91196,0.004258,0.004258,0.004258
60,56155.4,0.50519,0.68449,0.29466,1.05886,0.9958,0.99506,0.99488,0.92326,0.9952,0.99446,0.99484,0.92875,0.4553,0.52888,0.19279,0.91061,0.004159,0.004159,0.004159
61,57066.1,0.50221,0.68068,0.29338,1.05509,0.99619,0.99461,0.99487,0.92287,0.99579,0.99421,0.99484,0.92834,0.45558,0.52959,0.19295,0.90875,0.00406,0.00406,0.00406
62,57978.2,0.49973,0.67805,0.29188,1.06349,0.99639,0.99461,0.99487,0.92325,0.99599,0.99421,0.99484,0.92866,0.45557,0.5293,0.19329,0.9068,0.003961,0.003961,0.003961
63,58897.5,0.49892,0.68136,0.29092,1.06183,0.99639,0.99482,0.99486,0.92327,0.99599,0.99442,0.99482,0.92831,0.45536,0.52843,0.19248,0.90416,0.003862,0.003862,0.003862
64,59814,0.49626,0.67409,0.28964,1.04892,0.99619,0.99506,0.99486,0.92362,0.99579,0.99466,0.99484,0.92873,0.45494,0.52864,0.19271,0.90203,0.003763,0.003763,0.003763
65,60734.6,0.49241,0.66748,0.28798,1.04251,0.9956,0.9952,0.99487,0.92305,0.9952,0.9948,0.99484,0.92852,0.45494,0.52855,0.1926,0.90062,0.003664,0.003664,0.003664
66,61651.6,0.49015,0.66477,0.28489,1.04191,0.9958,0.9954,0.99487,0.92274,0.9952,0.9948,0.99484,0.92838,0.45453,0.52733,0.19245,0.89981,0.003565,0.003565,0.003565
67,62565.9,0.48704,0.66433,0.28308,1.03688,0.99611,0.9954,0.99488,0.92248,0.99531,0.9946,0.99483,0.92864,0.45433,0.52839,0.19266,0.89854,0.003466,0.003466,0.003466
68,63475.9,0.48625,0.6619,0.28319,1.03868,0.9962,0.99525,0.99489,0.92231,0.99539,0.99445,0.99483,0.9282,0.45413,0.52859,0.19306,0.89822,0.003367,0.003367,0.003367
